date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:55	120090/120090	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2014:54:56%20GMT	https://cleancreations.com/	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/index.html	(from )
20:55:22	16184/16184	---M--	200	added ('OK')	image/png	etag:%223f38-5e3dc7b05f2de%22	https://cleancreations.com/assets/icons/cropped-favicon-32x32.png	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/icons/cropped-favicon-32x32.png	(from https://cleancreations.com/)
20:55:25	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick.min.css	(from https://cleancreations.com/)
20:55:26	3349/3349	---M-Z	200	added ('OK')	text/css	etag:%22d15-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/ajax/libs/slick-carousel/1.5.9/slick-theme.min.css	(from https://cleancreations.com/)
20:55:26	13872/13872	---M-Z	200	added ('OK')	text/css	etag:%223630-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/ajax/libs/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/ajax/libs/swiper/swiper-bundle.min.css	(from https://cleancreations.com/)
20:55:27	159638/159638	---M-Z	200	added ('OK')	application/javascript	etag:%2226f96-5e3dc7b0b80c3-gzip%22	https://cleancreations.com/assets/js/charts/Chart.min.js	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/js/charts/Chart.min.js	(from https://cleancreations.com/)
20:55:27	2376/2376	---M-Z	200	added ('OK')	text/css	etag:%22948-5e3dc7b0bee23-gzip%22	https://cleancreations.com/assets/js/lightbox/css/jquery.lightbox-0.5.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/js/lightbox/css/jquery.lightbox-0.5.css	(from https://cleancreations.com/)
20:55:28	57184/57184	---M-Z	200	added ('OK')	text/css	etag:%22df60-5e3dc7b05087d-gzip%22	https://cleancreations.com//assets/css/fontawesome.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/fontawesome.min.css	(from https://cleancreations.com/)
20:55:28	112524/112524	---M-Z	200	added ('OK')	text/css	etag:%221b78c-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/material-kit.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/material-kit.css	(from https://cleancreations.com/)
20:55:28	121195/121195	---M-Z	200	added ('OK')	text/css	etag:%221d96b-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/bootstrap.min.css	(from https://cleancreations.com/)
20:55:28	17851/17851	---M-Z	200	added ('OK')	text/css	etag:%2245bb-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/custom.datatables.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/custom.datatables.min.css	(from https://cleancreations.com/)
20:55:29	4188/4188	---M-Z	200	added ('OK')	text/css	etag:%22105c-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/dataTables.bootstrap.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/dataTables.bootstrap.min.css	(from https://cleancreations.com/)
20:55:29	8735/8735	---M-Z	200	added ('OK')	text/css	etag:%22221f-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/chosen.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/chosen.min.css	(from https://cleancreations.com/)
20:55:29	3929/3929	---M-Z	200	added ('OK')	text/css	etag:%22f59-5e3dc7b05181d-gzip%22	https://cleancreations.com/assets/css/responsive.dataTables.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/responsive.dataTables.min.css	(from https://cleancreations.com/)
20:55:30	7789/7789	---M-Z	200	added ('OK')	text/css	etag:%221e6d-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/bootstrap-datetimepicker.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/bootstrap-datetimepicker.min.css	(from https://cleancreations.com/)
20:55:30	21101/21101	---M-Z	200	added ('OK')	text/css	etag:%22526d-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/bootstrap-datepicker.min.css	(from https://cleancreations.com/)
20:55:30	21053/21053	---M-Z	200	added ('OK')	text/css	etag:%22523d-5e3dc7b05087d-gzip%22	https://cleancreations.com/assets/css/bootstrap-editable.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/bootstrap-editable.css	(from https://cleancreations.com/)
20:55:31	19223/19223	---M-Z	200	added ('OK')	text/css	etag:%224b17-5e3dc7b05181d-gzip%22	https://cleancreations.com/assets/css/select2/select2.css	C:/My%20Web%20Sites/MyNewProject/cleancreations.com/assets/css/select2/select2.css	(from https://cleancreations.com/)
